title,type,topic,level,url,tags
NPTEL Cloud Computing,Course,Cloud Computing,Intermediate,https://nptel.ac.in/courses/106/106/106106182/,"cloud, nptel, course"
Cloud Computing - Tutorialspoint,Website,Cloud Computing,Beginner,https://www.tutorialspoint.com/cloud_computing/index.htm,"cloud, tutorialspoint, beginner"
Cloud Computing Full Course - Edureka,YouTube Video,Cloud Computing,Beginner,https://www.youtube.com/watch?v=2LaAJq1lB1Q,"cloud, youtube, edureka"
Database System Concepts by Korth,Book,DBMS,Beginner,https://www.db-book.com/,"dbms, book, beginner"
GeeksforGeeks DBMS,Website,DBMS,Beginner,https://www.geeksforgeeks.org/dbms/,"dbms, gfg, beginner"
DBMS - Neso Academy,YouTube Video,DBMS,Beginner,https://www.youtube.com/playlist?list=PLBlnK6fEyqRj0r6ljjZ6kO1RfFzY-4A8i,"dbms, youtube, beginner"
Stanford Database Course,Course,DBMS,Intermediate,https://cs186berkeley.net/,"dbms, stanford, course"
SQLZoo,Problem Set,DBMS,Beginner,https://sqlzoo.net/,"dbms, sql, problems"
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Book,Machine Learning,Intermediate,https://www.oreilly.com/library/view/hands-on-machine-learning/9781492032632/,"ml, book, intermediate"
Andrew Ng's ML Course (Coursera),Course,Machine Learning,Beginner,https://www.coursera.org/learn/machine-learning,"ml, coursera, beginner"
Deep Learning Specialization (Coursera),Course,Machine Learning,Advanced,https://www.coursera.org/specializations/deep-learning,"ml, deep learning, advanced"
Google ML Crash Course,Course,Machine Learning,Beginner,https://developers.google.com/machine-learning/crash-course,"ml, google, beginner"
Kaggle Datasets and Problems,Problem Set,Machine Learning,Intermediate,https://www.kaggle.com/datasets,"ml, kaggle, problems"
3Blue1Brown Neural Networks,YouTube Video,Machine Learning,Intermediate,https://www.youtube.com/playlist?list=PLZHQObOWTQDMsr9K-rj53DwVRMYO3t5Yr,"ml, youtube, visual"
Real Python Tutorials,Website,Python,Intermediate,https://realpython.com/,"python, tutorials, website"
Full Python Course - FreeCodeCamp,YouTube Video,Python,Beginner,https://www.youtube.com/watch?v=rfscVS0vtbw,"python, youtube, course"
Python Crash Course by Eric Matthes,Book,Python,Beginner,https://nostarch.com/pythoncrashcourse2e,"python, book, beginner"
Exercism Python Track,Problem Set,Python,Intermediate,https://exercism.org/tracks/python,"python, problems, exercism"
Intermediate Python - PyBites,Problem Set,Python,Intermediate,https://codechalleng.es/bites/tags/python/,"python, coding, challenges"
Head First Java,Book,Java,Beginner,https://www.oreilly.com/library/view/head-first-java/0596009208/,"java, beginner, book"
Java Brains YouTube,YouTube Video,Java,Intermediate,https://www.youtube.com/user/koushks,"java, youtube, tutorial"
GeeksforGeeks Java Programming,Website,Java,Beginner,https://www.geeksforgee_ks.org/java/,"java, gfg, website"
Java Programming Masterclass (Udemy),Course,Java,Beginner,https://www.udemy.com/course/java-the-complete-java-developer-course/,"java, udemy, beginner"
CodingBat Java Problems,Problem Set,Java,Beginner,https://codingbat.com/java,"java, problems, codingbat"
Coursera Data Structures and Algorithms,Course,Data Structures,Beginner,https://www.coursera.org/specializations/data-structures-algorithms,"dsa, coursera, course"
Cracking the Coding Interview,Book,Data Structures,Intermediate,https://www.crackingthecodinginterview.com/,"dsa, book, interview"
NeetCode YouTube - DSA Problems,YouTube Video,Data Structures,Intermediate,https://www.youtube.com/c/NeetCode,"dsa, youtube, practice"
HackerRank Data Structures,Problem Set,Data Structures,Beginner,https://www.hackerrank.com/domains/data-structures,"dsa, hackerrank, beginner"
Brilliant.org Data Structures,Course,Data Structures,Intermediate,https://brilliant.org/,"dsa, course, interactive"
Stanford CS140e - OS,Course,Operating Systems,Advanced,https://cs140e.sergio.bz/,"os, stanford, advanced"
GATE Lectures - Operating Systems,YouTube Video,Operating Systems,Intermediate,https://www.youtube.com/playlist?list=PLG9aCp4uE-s1XzO0PrG2-LA0QavbdkMmn,"os, youtube, gate"
Operating Systems TutorialsPoint,Website,Operating Systems,Beginner,https://www.tutorialspoint.com/operating_system/index.htm,"os, tutorialspoint, beginner"
Operating System MCQs - Sanfoundry,Problem Set,Operating Systems,Intermediate,https://www.sanfoundry.com/operating-system-questions-answers/,"os, mcqs, practice"
CMU Intro to OS,Course,Operating Systems,Advanced,https://www.cs.cmu.edu/~410/,"os, cmu, course"
Programming: Principles and Practice Using C++,Book,C++,Beginner,https://www.stroustrup.com/programming.html,"c++, stroustrup, book"
C++ Nanodegree - Udacity,Course,C++,Intermediate,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,"c++, course, udacity"
GeeksforGeeks C++,Website,C++,Beginner,https://www.geeksforgeeks.org/c-plus-plus/,"c++, gfg, website"
C++ Interview Questions - TutorialsPoint,Article,C++,Intermediate,https://www.tutorialspoint.com/cplusplus/cpp_interview_questions.htm,"c++, interview, article"
Exercism C++ Track,Problem Set,C++,Intermediate,https://exercism.org/tracks/cpp,"c++, practice, problems"
Thomas' Calculus,Book,Calculus,Intermediate,https://www.pearson.com/en-us/subject-catalog/p/thomas-calculus/P200000006983,"calculus, thomas, book"
Brilliant.org Calculus,Course,Calculus,Intermediate,https://brilliant.org/subjects/calculus/,"calculus, brilliant, course"
Exercism Math Problems,Problem Set,Calculus,Intermediate,https://exercism.org/tracks/mathematics,"calculus, problems, practice"
Paul's Calculus Practice Problems,Problem Set,Calculus,Intermediate,https://tutorial.math.lamar.edu/Problems/calculus.aspx,"calculus, problems, practice"
Calculus for Machine Learning - YouTube,YouTube Video,Calculus,Intermediate,https://www.youtube.com/watch?v=ZK3O402wf1c,"calculus, youtube, ml"
Discrete Mathematics Course - FreeCodeCamp,YouTube Video,Discrete Mathematics,Beginner,https://www.youtube.com/watch?v=VQ4iDBkGxfI,"discrete math, youtube, course"
Brilliant.org Discrete Math,Course,Discrete Mathematics,Intermediate,https://brilliant.org/subjects/discrete-mathematics/,"discrete math, brilliant, course"
Discrete Math Problems - Sanfoundry,Problem Set,Discrete Mathematics,Intermediate,https://www.sanfoundry.com/discrete-mathematics-questions-answers/,"discrete math, problems, practice"
Discrete Mathematics by Susanna Epp,Book,Discrete Mathematics,Beginner,https://www.pearson.com/en-us/subject-catalog/p/discrete-mathematics-with-applications/P200000006981,"discrete math, epp, book"
Jovian Discrete Math,Article,Discrete Mathematics,Intermediate,https://jovian.com/learn/discrete-mathematics,"discrete math, article, tutorial"
AWS Certified Developer Associate,Course,AWS,Intermediate,https://www.udemy.com/course/aws-certified-developer-associate/,"aws, udemy, course"
AWS Free Tier Hands-On Labs,Website,AWS,Beginner,https://aws.amazon.com/free/,"aws, hands-on, labs"
AWS Case Studies,Article,AWS,Intermediate,https://aws.amazon.com/solutions/case-studies/,"aws, case study, article"
Linux Academy AWS Training,Course,AWS,Intermediate,https://acloudguru.com/training-library/aws,"aws, cloudguru, training"
AWS Solutions Architect Course - YouTube,YouTube Video,AWS,Intermediate,https://www.youtube.com/watch?v=Ia-UEYYR44s,"aws, youtube, architect"
Cloud Native Computing Foundation,Website,Cloud Computing,Intermediate,https://www.cncf.io/,"cloud, cncf, website"
Cloud Computing MCQs - Sanfoundry,Problem Set,Cloud Computing,Intermediate,https://www.sanfoundry.com/cloud-computing-questions-answers/,"cloud, practice, mcqs"
Google Cloud Training,Course,Cloud Computing,Beginner,https://cloud.google.com/training,"cloud, gcp, beginner"
Microsoft Learn - Azure Fundamentals,Course,Cloud Computing,Beginner,https://learn.microsoft.com/en-us/training/azure/,"cloud, azure, beginner"
IBM Cloud Docs,Documentation,Cloud Computing,All,https://cloud.ibm.com/docs,"cloud, ibm, documentation"
SQLBolt Interactive SQL Lessons,Problem Set,DBMS,Beginner,https://sqlbolt.com/,"dbms, sql, interactive"
Mode Analytics SQL Tutorial,Article,DBMS,Beginner,https://mode.com/sql-tutorial/,"dbms, sql, beginner"
PostgreSQL Official Docs,Documentation,DBMS,All,https://www.postgresql.org/docs/,"dbms, postgres, documentation"
MySQL Tutorial - W3Schools,Website,DBMS,Beginner,https://www.w3schools.com/MySQL/default.asp,"dbms, mysql, w3schools"
MongoDB University Free Courses,Course,DBMS,Beginner,https://learn.mongodb.com/,"dbms, nosql, course"
Fast.ai Practical Deep Learning,Course,Machine Learning,Intermediate,https://course.fast.ai/,"ml, fastai, course"
Machine Learning Yearning by Andrew Ng,Book,Machine Learning,Beginner,https://www.deeplearning.ai/machine-learning-yearning/,"ml, book, ng"
Awesome Machine Learning GitHub,Website,Machine Learning,Advanced,https://github.com/josephmisiti/awesome-machine-learning,"ml, github, curated"
Towards Data Science Articles,Article,Machine Learning,Intermediate,https://towardsdatascience.com/,"ml, articles, tds"
Exercism ML Problems,Problem Set,Machine Learning,Intermediate,https://exercism.org/tracks/machine-learning,"ml, practice, problems"
